2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH0405802', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH0405802', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH0405802', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH0500508', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH0500508', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH0500508', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH0506216', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH0506216', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH0506216', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH0500517', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH0500517', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH0500517', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH0405647', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH0405647', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH0405647', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH0501603', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH0501603', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH0501603', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH1400105', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH1400105', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH1400105', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH0500503', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH0500503', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T3 FIRED — unit='ADM3::PH0500503', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T1 FIRED — unit='ADM3::PH0501712', fire_lead=5, p=1.00
2026-07-14 17:04:25 | INFO     | forecast   | _apply_tier_rules:205        | Tier T2 FIRED — unit='ADM3::PH0501712', fire_lead=5, p=1.00
